
----------------------------------------
Circuit Details:
----------------------------------------
No. of Primary Inputs: 155
No. of Primary Outputs: 20
No. of Gates: 691
No. of Nodes: 1537
Execution Time: 2015000 ns
Primary Inputs: N334 N224 N19 N352 N355 N343 N1 N74 N87 N61 N48 N72 N85 N53 N78 N91 N43 N49 N68 N81 N80 N64 N52 N90 N51 N76 N114 N126 N138 N116 N129 N141 N130 N106 N142 N107 N95 N112 N124 N100 N104 N136 N113 N337 N125 N137 N111 N86 N118 N219 N16 N6 N22 N21 N328 N4 N34 N35 N33 N73 N26 N32 N94 N246 N24 N272 N313 N60 N37 N117 N256 N3 N23 N93 N28 N259 N105 N140 N128 N269 N79 N131 N66 N340 N25 N15 N2 N135 N20 N55 N62 N102 N29 N119 N77 N230 N40 N103 N263 N281 N278 N287 N284 N266 N127 N275 N294 N123 N234 N227 N8 N322 N319 N309 N301 N88 N349 N346 N75 N47 N101 N262 N297 N63 N56 N54 N14 N331 N44 N132 N82 N50 N96 N92 N69 N120 N57 N108 N27 N237 N7 N67 N325 N231 N139 N241 N36 N5 N305 N11 N115 N99 N89 N65 N316
Outputs: N1448 N2925 N3882 N3546 N2387 N2389 N1026 N2643 N2496 N799 N3803 N792 N1269 N1029 N1969 N1970 N1971 N2891 N3079 N3851


----------------------------------------
Signal	CC0	CC1	CO
----------------------------------------
N334	1	1	62
N224	1	1	14
N19	1	1	85
N352	1	1	79
N355	1	1	117
N343	1	1	64
N1	1	1	16
N74	1	1	107
N87	1	1	108
N61	1	1	106
N48	1	1	106
N72	1	1	61
N85	1	1	59
N53	1	1	21
N78	1	1	22
N91	1	1	20
N43	1	1	16
N49	1	1	110
N68	1	1	17
N81	1	1	15
N80	1	1	22
N64	1	1	21
N52	1	1	21
N90	1	1	20
N51	1	1	21
N76	1	1	22
N114	1	1	56
N126	1	1	55
N138	1	1	54
N116	1	1	38
N129	1	1	51
N141	1	1	50
N130	1	1	153
N106	1	1	153
N142	1	1	152
N107	1	1	49
N95	1	1	48
N112	1	1	95
N124	1	1	94
N100	1	1	94
N104	1	1	37
N136	1	1	93
N113	1	1	49
N337	1	1	62
N125	1	1	48
N137	1	1	47
N111	1	1	24
N86	1	1	105
N118	1	1	154
N219	1	1	3
N16	1	1	38
N6	1	1	85
N22	1	1	85
N21	1	1	85
N328	1	1	49
N4	1	1	85
N34	1	1	69
N35	1	1	69
N33	1	1	69
N73	1	1	107
N26	1	1	69
N32	1	1	69
N94	1	1	3
N246	1	1	16
N24	1	1	85
N272	1	1	85
N313	1	1	15
N60	1	1	60
N37	1	1	97
N117	1	1	52
N256	1	1	54
N3	1	1	16
N23	1	1	85
N93	1	1	20
N28	1	1	67
N259	1	1	54
N105	1	1	51
N140	1	1	36
N128	1	1	37
N269	1	1	85
N79	1	1	19
N131	1	1	47
N66	1	1	18
N340	1	1	64
N25	1	1	34
N15	1	1	5
N2	1	1	5
N135	1	1	22
N20	1	1	85
N55	1	1	21
N62	1	1	99
N102	1	1	55
N29	1	1	33
N119	1	1	48
N77	1	1	22
N230	1	1	16
N40	1	1	40
N103	1	1	94
N263	1	1	79
N281	1	1	52
N278	1	1	84
N287	1	1	47
N284	1	1	32
N266	1	1	85
N127	1	1	94
N275	1	1	85
N294	1	1	29
N123	1	1	23
N234	1	1	15
N227	1	1	15
N8	1	1	88
N322	1	1	22
N319	1	1	22
N309	1	1	10
N301	1	1	10
N88	1	1	98
N349	1	1	54
N346	1	1	54
N75	1	1	100
N47	1	1	60
N101	1	1	48
N262	1	1	47
N297	1	1	10
N63	1	1	21
N56	1	1	16
N54	1	1	18
N14	1	1	13
N331	1	1	49
N44	1	1	23
N132	1	1	23
N82	1	1	23
N50	1	1	99
N96	1	1	23
N92	1	1	17
N69	1	1	23
N120	1	1	23
N57	1	1	23
N108	1	1	23
N27	1	1	69
N237	1	1	4
N7	1	1	5
N67	1	1	21
N325	1	1	4
N231	1	1	4
N139	1	1	93
N241	1	1	12
N36	1	1	14
N5	1	1	85
N305	1	1	10
N11	1	1	30
N115	1	1	95
N99	1	1	23
N89	1	1	20
N65	1	1	21
N316	1	1	8
n855	2	2	61
n440	2	2	13
n914	2	2	84
n897	2	2	78
n886	2	2	116
n853	2	2	63
n822	2	2	44
n814	2	2	84
n808	2	2	84
n805	2	2	84
n863	2	2	48
n799	2	2	84
n792	2	2	68
n786	2	2	68
n783	2	2	68
n780	2	2	68
n777	2	2	68
n827	3	2	1
n768	2	2	16
n817	2	2	84
n745	2	2	84
n744	2	2	14
n714	2	2	53
n293	3	2	14
n811	2	2	84
n715	2	2	53
n746	2	2	84
n854	2	2	63
n500	3	2	3
n911	2	2	84
n774	2	2	33
n429	2	2	78
n428	2	2	83
n427	2	2	83
n426	2	2	46
n425	2	2	31
n424	2	2	84
n423	2	2	84
n422	2	2	37
n573	3	2	105
n417	2	2	15
n414	2	3	13
n415	2	2	15
n357	2	2	90
n408	2	2	22
n404	2	3	20
n405	2	2	22
n402	2	2	9
n400	2	2	9
n717	2	2	53
n716	2	2	53
n401	2	2	9
n862	2	2	48
N487	2	2	22
N488	2	2	22
N489	2	2	22
N490	2	2	22
N491	2	2	22
N492	2	2	22
N493	2	2	22
N494	2	2	22
n789	2	2	68
N1028	3	2	3
n441	2	2	24
n802	2	2	84
n403	2	2	9
n291	2	2	7
n612	2	4	61
n856	4	2	59
n913	4	2	82
n633	4	2	76
n650	2	4	114
n609	4	2	61
n813	2	4	82
n807	2	4	82
n804	2	4	82
n617	4	2	46
n798	2	4	82
n791	2	4	66
n785	2	4	66
n782	2	4	66
n779	2	4	66
n776	2	4	66
N1026	4	3	0
n816	2	4	82
n806	2	4	82
n623	4	2	88
n638	4	2	120
n721	2	4	51
n859	4	2	51
n915	4	2	82
n810	2	4	82
n722	2	4	51
n797	2	4	82
n858	4	2	51
n803	2	4	82
n627	4	2	88
n608	4	2	61
n300	4	3	2
n910	4	2	82
n493	4	2	31
n632	4	2	76
n912	4	2	82
n748	2	4	81
n815	2	4	82
n895	4	2	81
n747	2	4	81
n812	2	4	82
n896	4	2	81
n751	2	4	81
n775	2	4	66
n893	4	2	81
n750	2	4	81
n894	4	2	81
n800	2	4	82
n626	4	2	88
n809	2	4	82
n624	4	2	88
n778	2	4	66
n651	2	4	114
n419	2	4	13
n556	5	2	16
n560	5	2	16
n580	5	2	16
n584	5	2	11
n588	5	2	16
n592	5	2	13
n564	5	2	55
n568	5	2	101
n576	5	2	94
n416	3	5	13
n418	2	4	13
n574	4	2	105
n407	2	4	20
n514	5	2	18
n518	5	2	43
n522	5	2	89
n526	5	2	43
n502	5	2	148
n506	5	2	46
n510	5	2	32
n530	5	2	89
n534	5	2	50
n406	2	4	20
n409	3	5	20
n784	2	4	66
n642	4	2	120
n787	2	4	66
n648	4	2	114
n719	2	4	51
n860	4	2	51
n718	2	4	51
n861	4	2	51
n299	3	5	6
